"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"SMITH, ADRIAN","R","NE03",18800,0,"$0",0,0,18800,133,"House","Nebraska",163310,0,8.3,160,9.1,171
"MCKINLEY, DAVID","R","WV01",10500,8176,"$0",0,0,18676,134,"House","West Virginia",388360,-459700,18.6,348,17.5,332
"SCOTT, TIM","R","SCS1",17950,563,"$0",0,0,18513,135,"Senate","South Carolina",135064,-15497,17.7,893,17.7,891
"JORDAN, JIM","R","OH04",14500,3643,"$0",0,0,18143,136,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"COLLINS, SUSAN","R","MES2",19800,0,"$1,701",0,0,18099,137,"Senate","Maine",18099,-180796,11.7,172,8.3,123
"BILIRAKIS, GUS","R","FL12",17450,156,"$0",0,0,17606,138,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"OLSON, PETE","R","TX22",18950,1061,"$0",2647,0,17364,139,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"FLORES, BILL","R","TX17",16000,1032,"$0",0,0,17032,140,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"MARCHANT, KENNY","R","TX24",15750,969,"$0",0,0,16719,141,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"JOHNSON, DUSTIN","R","SD01",2000,14487,"$0",0,0,16487,142,"House","South Dakota",750978,0,11.9,101,13.4,108
"HUNTER, DUNCAN","R","CA50",14000,0,"$0",0,2192,16192,143,"House","California",214295,-285808,7.9,3184,7.9,3184
"POSEY, BILL","R","FL08",13500,2643,"$0",0,0,16143,144,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"COLLINS, DOUG","R","GA09",9000,6825,"$0",0,0,15825,145,"House","Georgia",2144458,-1635,15.4,1623,15,1571
